feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order,final_branch,final_rank_within_branch,evidence_feature_index
27,labevents::50802::Base Excess::valuenum,Base Excess,labevents,50802,valuenum,lab_blood_gas_respiration,observed_fraction,0.0271820444613695,8020,1.0,1122,6898,0.0023168651387095,0.038918599486351,0.0252730268985033,0.0136455725878477,0.0983388249669127,0.0983388249669127,0.5834726178090837,0.5834726178090837,0.1714372861248177,1.2254251646355063,0.0077289857974021,False,False,,0.4421893910291092,21,5,1.0001247127192234,15.0,0.4003644204326704,0.0836499411928777,0.5,0.6,0.0429112825702759,80.0,80.0,False,,0.7666666666666666,0.4421893910291092,0.6,0.7666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.565990150642066,strong,2,clinical,11,27
28,labevents::50882::Bicarbonate::valuenum,Bicarbonate,labevents,50882,valuenum,lab_blood_gas_respiration,observed_fraction,0.0626818388700485,8020,1.0,1122,6898,0.0017562099965289,0.0561868660151958,0.0637382864952087,0.0075514204800128,-0.0625062807180178,0.0625062807180178,0.4493890864023724,0.5506109135976276,0.1283917938785146,0.917738134497048,0.0002834606021966,False,False,,0.3459501414569683,22,8,1.0001246804529298,49.0,0.2390126778636471,0.2138749271866423,0.5,0.9,0.152908506966196,80.0,80.0,False,,0.1999999999999999,0.3459501414569683,0.9,0.1999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.5137850424370904,strong,2,clinical,12,28
39,labevents::50811::Hemoglobin::valuenum,Hemoglobin,labevents,50811,valuenum,lab_cbc,slope,0.0087905237451195,253,0.0315461346633416,33,220,0.0718142166733741,-0.1559398174285888,-0.0457702726125717,0.1101695448160171,-0.1384535662961973,0.1384535662961973,0.3665289256198347,0.6334710743801653,0.1517091526370845,1.0844094511135636,0.0312009119957241,False,False,,0.4757591448324687,32,1,1.000124719674715,8.0,0.4608578600851524,0.0298025694946326,0.5,0.8125,0.0089769643052932,80.0,80.0,False,,0.8833333333333333,0.4757591448324687,0.8125,0.8833333333333333,0.0315461346633416,0.0,0.0,0.0,0.0,0.0,0.5662990235827414,core,1,clinical,13,39
38,labevents::51301::White Blood Cells::valuenum,White Blood Cells,labevents,51301,valuenum,lab_cbc,max,0.0553564019501209,6920,0.8628428927680798,881,6039,84.51812744140625,12.973098754882812,12.270227432250977,0.7028713226318359,0.0254838850939306,0.0254838850939306,0.5469732399636942,0.5469732399636942,0.1426262868630319,1.0194855798943996,0.0122533386630092,False,False,,0.327434885262071,31,1,1.0001246833539628,35.0,0.3095136638010272,0.0358424429220876,0.5,0.8625,0.0147810308921179,80.0,80.0,False,,0.4333333333333333,0.327434885262071,0.8625,0.4333333333333333,0.8628428927680798,0.0,0.0,0.0,0.0,0.0,0.5299314215220959,strong,2,clinical,14,38
54,labevents::50912::Creatinine::valuenum,Creatinine,labevents,50912,valuenum,lab_renal,observed_fraction,0.0633936002850532,8020,1.0,1122,6898,0.0017770918784663,0.056929588317871,0.0644450113177299,0.0075154229998588,-0.0618417656293432,0.0618417656293432,0.4518626779107226,0.5481373220892773,0.1287495603322862,0.9202954312521706,0.0015917904449489,False,False,,0.3472787219806286,22,8,1.0001246663136962,48.0,0.2494389745142752,0.1956794949327067,0.5,0.9375,0.1876420273794792,80.0,80.0,False,,0.2166666666666666,0.3472787219806286,0.9375,0.2166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.5287669499275219,strong,2,clinical,15,54
60,labevents::51274::PT::valuenum,PT,labevents,51274,valuenum,lab_coagulation,max,0.0370635911822319,5112,0.6374064837905237,675,4437,126.27538299560548,20.110445022583008,17.87560272216797,2.234842300415039,0.0673276020973774,0.0673276020973774,0.5676279434719823,0.5676279434719823,0.1642577432032428,1.1741061501693473,0.0124504502694142,False,False,,0.3742596269496137,43,2,1.0001247128748636,28.0,0.3331129210161557,0.0822934118669159,0.5,0.9125,0.0701137564145028,80.0,80.0,False,,0.55,0.3742596269496137,0.9125,0.55,0.6374064837905237,0.0,0.0,0.0,0.0,0.0,0.5597685364639364,core,1,clinical,16,60
59,labevents::51237::INR(PT)::valuenum,INR(PT),labevents,51237,valuenum,lab_coagulation,last,0.0370635911822319,5112,0.6374064837905237,675,4437,0.8421120643615723,1.7856297492980957,1.5834189653396606,0.202210783958435,0.0745975978796817,0.0745975978796817,0.5634955216654564,0.5634955216654564,0.1642319310784682,1.1739216463897644,0.0096998737483811,False,False,,0.3717740793542085,43,2,1.0001246855685189,23.0,0.3493526395423579,0.0448428796237011,0.5,0.65,0.0353183787326997,80.0,80.0,False,,0.6333333333333333,0.3717740793542085,0.65,0.6333333333333333,0.6374064837905237,0.0,0.0,0.0,0.0,0.0,0.4969395388519816,strong,2,clinical,17,59
52,labevents::50960::Magnesium::valuenum,Magnesium,labevents,50960,valuenum,lab_electrolyte,observed_fraction,0.0600322112441062,8020,1.0,1122,6898,0.0017198469722643,0.0535502061247825,0.0610865466296672,0.0075363405048847,-0.0630375293928601,0.0630375293928601,0.4495109926202484,0.5504890073797515,0.1286546722263449,0.9196171758068508,0.0077379450423968,False,False,,0.3690367174226379,22,8,1.0001247181023252,39.0,0.2907279326625964,0.1566175695200831,0.5,0.775,0.0633826239523777,80.0,80.0,False,,0.3666666666666667,0.3690367174226379,0.775,0.3666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.5165443485601248,strong,2,clinical,18,52
53,labevents::50970::Phosphate::valuenum,Phosphate,labevents,50970,valuenum,lab_blood_gas_respiration,observed_fraction,0.0584736093878746,8020,1.0,1122,6898,0.0016651317710056,0.0521761700510978,0.0594979263842105,0.0073217563331127,-0.0622406590590703,0.0622406590590703,0.4510973885323654,0.5489026114676345,0.1287686875145531,0.92043215139636,0.0048608396799214,False,False,,0.3582081113207399,22,8,1.0001246940274902,42.0,0.2720936952100295,0.1722288322214208,0.5,0.4375,0.0431099520450516,80.0,80.0,False,,0.3166666666666666,0.3582081113207399,0.4375,0.3166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.4020457667295554,review,3,clinical,19,53
50,"labevents::50893::Calcium, Total::valuenum","Calcium, Total",labevents,50893,valuenum,lab_electrolyte,observed_fraction,0.0583852864801883,8020,1.0,1122,6898,0.0016648456221446,0.0522504448890686,0.0593831539154052,0.0071327090263366,-0.0606388811771759,0.0606388811771759,0.4523817645353299,0.54761823546467,0.1290138280181713,0.9221844034810462,0.0048724344817105,False,False,,0.355359193578425,22,8,1.000124653380772,47.0,0.2647632826804451,0.1811918217959597,0.5,0.75,0.1106379945937078,80.0,80.0,False,,0.2333333333333332,0.355359193578425,0.75,0.2333333333333332,1.0,0.0,0.0,0.0,0.0,0.0,0.4782744247401941,strong,2,clinical,20,50
